NNAge,Opp,Wins
10,heuristic,93
20,heuristic,87
30,heuristic,89
40,heuristic,73
50,heuristic,92
60,heuristic,94
70,heuristic,92
80,heuristic,81
90,heuristic,90
100,heuristic,90
10,young nn,45
20,young nn,43
30,young nn,61
40,young nn,57
50,young nn,55
60,young nn,72
70,young nn,47
80,young nn,65
90,young nn,66
100,young nn,48
